"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5047","RT @Sharwan113: #GodMorningSaturday
Must Read #GyanGanga_Book to know how different avatars are.
Saint Rampal Ji

#MustListen_Satsang Of
@S…",FALSE,0,NA,2020-03-07 14:59:22,FALSE,NA,"1236305447306526720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mart_topper",14,TRUE,FALSE,NA,NA
"5048","RT @Sanju_Verma_: #YesBank was set up in 2003-04,with @INCIndia making regular phone calls to bankers like #RanaKapoor,to give loans to #Co…",FALSE,0,NA,2020-03-07 14:59:22,FALSE,NA,"1236305445574160384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KSVSUBRAMANIAN",3890,TRUE,FALSE,NA,NA
"5049","#SBI to respond by Monday to 'draft reconstruction plan' for crisis-hit #YesBank: Chairman Rajnish Kumar https://t.co/gfYLsbyN33",FALSE,10,NA,2020-03-07 14:59:16,FALSE,NA,"1236305420798566400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","airnewsalerts",5,FALSE,FALSE,NA,NA
"5050","RT @AurindamGhosal: #YesBank has always got carried away with vanity metrics. #yesbankcrisis https://t.co/k2rYAxI2rI",FALSE,0,NA,2020-03-07 14:59:12,FALSE,NA,"1236305405552148482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GokulVfc18",10,TRUE,FALSE,NA,NA
"5051","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 14:59:11,FALSE,NA,"1236305399596429317",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SohaibSquad",1752,TRUE,FALSE,NA,NA
"5052","RT @YatinMota: First Victim of Yes Bank Crisis? #Yes_Bank #YesBank 

Indusind Bank Defers Board meet which was scheduled next week for Fund…",FALSE,0,NA,2020-03-07 14:59:06,FALSE,NA,"1236305380000632832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vision2o2o",70,TRUE,FALSE,NA,NA
"5053","RT @ManiSan52335150: Yes Bank's willful defaulters

Adani Group - 14,730 crore
Ambani Group - 14,330 crore
Vedanta Group - 11,000 crore abo…",FALSE,0,NA,2020-03-07 14:59:05,FALSE,NA,"1236305373696417792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bittu9Dishan",872,TRUE,FALSE,NA,NA
"5054","RT @BT_India: Did #yesbank hide crisis. Vote here",FALSE,0,NA,2020-03-07 14:59:01,FALSE,NA,"1236305357246353409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sarathuniverse",3,TRUE,FALSE,NA,NA
"5055","This #Gujarat co withdrew Rs 265 crore, hours before #RBI moratorium on #YesBank.… https://t.co/8kY6GIKzD9",FALSE,0,NA,2020-03-07 14:58:53,TRUE,NA,"1236305326061899776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NPM_Magazine",0,FALSE,FALSE,NA,NA
"5056","RT @ndtv: Watch | ""PM Modi says 'go cashless'... My total account is in this bank. I have to pay out Rs 6 lakh before Holi. How will I mana…",FALSE,0,NA,2020-03-07 14:58:50,FALSE,NA,"1236305310148521985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wafadar_katappa",244,TRUE,FALSE,NA,NA
"5057","RT @cramachandran: “7 Reasons Why Demonetization is a Masterstroke by Modi” - authored in 2016 by Rana Kapur, MD and CEO, @YESBANK. #YesBan…",FALSE,0,NA,2020-03-07 14:58:50,FALSE,NA,"1236305310110961664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suhas_1613",1,TRUE,FALSE,NA,NA
"5058","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 14:58:46,FALSE,NA,"1236305293887164416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Khanfesal1984",1752,TRUE,FALSE,NA,NA
"5059","RT @OfficialParul1: #GodMorningSaturday
Must Read #GyanGanga_Book to know how different avatars are.
Saint Rampal Ji

#MustListen_Satsang O…",FALSE,0,NA,2020-03-07 14:58:43,FALSE,NA,"1236305284412387328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mart_topper",14,TRUE,FALSE,NA,NA
"5060","RT @ikaveri: A friend's entire alimony is with @YESBANK
Divorced after 24 years of marriage, she spent her youth caring for her family and…",FALSE,0,NA,2020-03-07 14:58:40,FALSE,NA,"1236305269350494208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjay1193",15,TRUE,FALSE,NA,NA
"5061","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 14:58:39,FALSE,NA,"1236305265000992771",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohdAas02937223",1752,TRUE,FALSE,NA,NA
